categoria|nome|modelo|preco|voltagem
Climatizadores (Antigos)|Aleta Horizontal|SX080 Prime (A)|20|
Climatizadores (Antigos)|Aleta Vertical|SX080 Prime (A)|20|
Climatizadores (Antigos)|Boia|SX080 Prime (A)|50|
Climatizadores (Antigos)|Bomba d'água|SX080 Prime (A)|200|110V
Climatizadores (Antigos)|Bomba d'água|SX080 Prime (A)|200|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX080 Prime (A)|40|
Climatizadores (Antigos)|Colmeia Lateral|SX080 Prime (A)|200|
Climatizadores (Antigos)|Colmeia Traseira|SX080 Prime (A)|250|
Climatizadores (Antigos)|Controle Remoto|SX080 Prime (A)|50|
Climatizadores (Antigos)|Dreno|SX080 Prime (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX080 Prime (A)|250|
Climatizadores (Antigos)|Estrutura Lateral|SX080 Prime (A)|200|
Climatizadores (Antigos)|Estrutura Superior|SX080 Prime (A)|200|
Climatizadores (Antigos)|Estrutura Traseira|SX080 Prime (A)|250|
Climatizadores (Antigos)|Filtro Colmeia|SX080 Prime (A)|80|
Climatizadores (Antigos)|Hélice|SX080 Prime (A)|250|
Climatizadores (Antigos)|Inversor|SX080 Prime (A)|950|110V
Climatizadores (Antigos)|Inversor|SX080 Prime (A)|950|220V
Climatizadores (Antigos)|Kit Colmeia|SX080 Prime (A)|950|
Climatizadores (Antigos)|Limpeza|SX080 Prime (A)|200|
Climatizadores (Antigos)|Motor|SX080 Prime (A)|950|110V
Climatizadores (Antigos)|Motor|SX080 Prime (A)|950|220V
Climatizadores (Antigos)|Motor Swing|SX080 Prime (A)|750|110V
Climatizadores (Antigos)|Motor Swing|SX080 Prime (A)|750|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX080 Prime (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX080 Prime (A)|300|110V
Climatizadores (Antigos)|Placa de Comando|SX080 Prime (A)|300|220V
Climatizadores (Antigos)|Placa de Painel|SX080 Prime (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX080 Prime (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX080 Prime (A)|250|
Climatizadores (Antigos)|Rodízios|SX080 Prime (A)|35|
Climatizadores (Antigos)|Suporte Rodízios|SX080 Prime (A)|60|
Climatizadores (Antigos)|Swing Aleta|SX080 Prime (A)|30|
Climatizadores (Antigos)|Tampa Superior|SX080 Prime (A)|200|
Climatizadores (Antigos)|Aleta Horizontal|SX090 Plus (A)|20|
Climatizadores (Antigos)|Aleta Vertical|SX090 Plus (A)|20|
Climatizadores (Antigos)|Boia|SX090 Plus (A)|50|
Climatizadores (Antigos)|Bomba d'água|SX090 Plus (A)|200|110V
Climatizadores (Antigos)|Bomba d'água|SX090 Plus (A)|200|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX090 Plus (A)|40|
Climatizadores (Antigos)|Capacitor|SX090 Plus (A)|60|110V
Climatizadores (Antigos)|Capacitor|SX090 Plus (A)|60|220V
Climatizadores (Antigos)|Colmeia Lateral|SX090 Plus (A)|200|
Climatizadores (Antigos)|Colmeia Traseira|SX090 Plus (A)|250|
Climatizadores (Antigos)|Controle Remoto|SX090 Plus (A)|50|
Climatizadores (Antigos)|Dreno|SX090 Plus (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX090 Plus (A)|250|
Climatizadores (Antigos)|Estrutura Lateral|SX090 Plus (A)|200|
Climatizadores (Antigos)|Estrutura Superior|SX090 Plus (A)|200|
Climatizadores (Antigos)|Estrutura Traseira|SX090 Plus (A)|250|
Climatizadores (Antigos)|Filtro Colmeia|SX090 Plus (A)|80|
Climatizadores (Antigos)|Hélice|SX090 Plus (A)|250|
Climatizadores (Antigos)|Kit Colmeia|SX090 Plus (A)|950|
Climatizadores (Antigos)|Limpeza|SX090 Plus (A)|200|
Climatizadores (Antigos)|Motor|SX090 Plus (A)|950|110V
Climatizadores (Antigos)|Motor|SX090 Plus (A)|950|220V
Climatizadores (Antigos)|Motor Swing|SX090 Plus (A)|750|110V
Climatizadores (Antigos)|Motor Swing|SX090 Plus (A)|750|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX090 Plus (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX090 Plus (A)|300|110V
Climatizadores (Antigos)|Placa de Comando|SX090 Plus (A)|300|220V
Climatizadores (Antigos)|Placa de Painel|SX090 Plus (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX090 Plus (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX090 Plus (A)|250|
